ID,PRE/POST,ENVIRONMENT,FILENAME,HAS_ATTACHMENTS,REQUESTER,DURATION,CM_AM,CM_IT,CM_UAT,CM_TST5,CM_ST,CM_DEVE2E,CM_COURTESY,CM_PT,CM_CATALOG,CM_ACNDEVOPS,CM_PROD
1,POST,ALIGNMENT,Catalog_14_12.txt,TRUE,CIEC,5,,x,,,,,,,,,
2,POST,ALIGNMENT,Mapping_npp_14_12.txt,TRUE,CIEC,5,,x,,,,,,,,,
3,POST,ALIGNMENT,Catalog_11_01.txt,TRUE,CIEC,5,,x,,,,,,,,,
4,POST,ALIGNMENT,Mapping_npp_11_01.txt,TRUE,CIEC,5,,x,,,,,,,,,
5,POST,ALIGNMENT,Attribute_BBTemplate_11_01.txt,TRUE,CIEC,5,,x,,,,,,,,,
6,POST,ALIGNMENT,Catalog_01_02.txt,TRUE,CANVASS,5,,x,,,,,,,,,
7,POST,ALIGNMENT,Catalog_14_02.txt,TRUE,CANVASS,5,,x,,,,,,,,,
8,POST,ALIGNMENT,Attribute_BBTemplate_14_02.txt,TRUE,CANVASS,5,,x,,,,,,,,,
9,POST,ALIGNMENT,Catalog_22_02.txt,TRUE,CANVASS,5,,x,,,,,,,,,
